ref_source_normalized,url_entrada_normalized,sessions
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/248/Texas/detail-curriculum/3824/EL%20-%20Science,11
External,https://cloudlabslearning.com/blogs-and-news/97,10
https://cloudlabslearning.com/,https://cloudlabslearning.com/about-cloudlabs,10
Direct/Unknown,http://cloudlabslearning.com/,10
Direct/Unknown,https://cloudlabslearning.com/blogs-and-news/124,9
Direct/Unknown,https://cloudlabslearning.com/curriculum/detail-country/29/Colombia%20-%20DBA/detail-curriculum/33/Educaci%C3%B3n%20B%C3%A1sica%20Secundaria/detail-grade/356/Once%20(11%C2%B0),9
Direct/Unknown,https://cloudlabslearning.com/register/D34CD7635E,9
Direct/Unknown,https://cloudlabslearning.com/register/20B1D2D249,8
Direct/Unknown,https://cloudlabslearning.com/stem-projects,8
Direct/Unknown,https://cloudlabslearning.com/register/70B1FDCFBC,8
Direct/Unknown,https://cloudlabslearning.com/blogs-and-news/88,8
https://cloudlabslearning.com/,https://cloudlabslearning.com/blogs-and-news/124,7
Direct/Unknown,https://cloudlabslearning.com/register/EC987D271A,7
Direct/Unknown,https://cloudlabslearning.com/register/55EA7AE18F,7
Direct/Unknown,https://cloudlabslearning.com/cookie-policies,7
External,https://cloudlabslearning.com/stem-projects,7
https://cloudlabslearning.com/,https://cloudlabslearning.com/middle-school,6
External,https://cloudlabslearning.com/curriculum,6
External,https://cloudlabslearning.com/innovative-education,6
Direct/Unknown,https://cloudlabslearning.com/verify/150FF4,6
https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/elementary-school,6
https://cloudlabslearning.com/](https://cloudlabslearning.com/),https://cloudlabslearning.com/page-not-found,6
External,https://cloudlabslearning.com/en,5
https://cloudlabslearning.com/en,https://cloudlabslearning.com/page-not-found,5
External,https://cloudlabslearning.com/blogs-and-news,5
Direct/Unknown,https://cloudlabslearning.com/cloudlabs-stem-areas,5
Direct/Unknown,https://development-landing-client.cloudlabs.group/,4
Direct/Unknown,https://cloudlabslearning.com/virtual-stem,4
External,https://cloudlabslearning.com/blogs-and-news/114,4
External,https://cloudlabslearning.com/es/home-es,4
Direct/Unknown,https://cloudlabslearning.com/blogs-and-news/92,4
https://cloudlabslearning.com/,https://cloudlabslearning.com/blogs-and-news/44,4
Direct/Unknown,https://cloudlabslearning.com/register/1F25926DEF,4
Direct/Unknown,https://cloudlabslearning.com/register/Jordi,4
Direct/Unknown,https://cloudlabslearning.com/sgi-policies,4
External,https://cloudlabslearning.com/register/EC987D271A,4
Direct/Unknown,https://cloudlabs.media/support,3
https://cloudlabslearning.com/pedagogical-approach,https://cloudlabslearning.com/pedagogical-approach,3
Direct/Unknown,https://cloudlabslearning.com/blogs-and-news/44,3
https://cloudlabslearning.com/,https://cloudlabslearning.com/curriculum,3
External,https://landing.cloudlabs.media/about-cloudlabs,3
https://cloudlabslearning.com/.well-known/change-password,https://cloudlabslearning.com/page-not-found,3
https://cloudlabslearning.com/,https://cloudlabslearning.com/stem-projects,3
External,https://cloudlabslearning.com/blogs-and-news/96,3
https://cloudlabslearning.com/,https://cloudlabslearning.com/certification,3
Direct/Unknown,https://cloudlabslearning.com/author/juanmarin,3
External,https://cloudlabslearning.com/teachers,3
Direct/Unknown,https://landing.cloudlabs.media/institutions,3
Direct/Unknown,https://cloudlabslearning.com/the-role-of-cloudlabs-within-the-learning-process-of-todays-students,3
Direct/Unknown,https://cloudlabslearning.com/verify/534854,3
Direct/Unknown,https://cloudlabslearning.com/work-with-us,3
Direct/Unknown,https://cloudlabslearning.com/careers,3
Direct/Unknown,https://cloudlabslearning.com/es/conoce-que-es-la-neuroeducacion-y-como-aplicarla,3
Direct/Unknown,https://cloudlabslearning.com/](https://cloudlabslearning.com/),3
https://cloudlabslearning.com/registro_sena,https://cloudlabslearning.com/page-not-found,3
https://cloudlabslearning.com/simuladores/propiedades-materia,https://cloudlabslearning.com/page-not-found,3
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/22218/New%20York/detail-curriculum/22221/High%20School/detail-grade/22245/Geometry,2
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/1454/High%20School/detail-grade/21673/Financial%20Literacy,2
Direct/Unknown,https://cloudlabslearning.com/about,2
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/22218/New%20York/detail-curriculum/22219/Elementary%20School/detail-grade/22572/Grade%203,2
https://cloudlabslearning.com/jobs,https://cloudlabslearning.com/page-not-found,2
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16772/Science,2
Direct/Unknown,https://cloudlabslearning.com/pt/como-aumentar-a-produtividade-no-processo-de-aprendizagem,2
https://cloudlabslearning.com/es/precios,https://cloudlabslearning.com/page-not-found,2
Direct/Unknown,https://cloudlabslearning.com/curriculum/detail-country/87/United%20States/detail-curriculum/119/Next%20Generation%20Science%20Standards/detail-grade/203/Life%20Science%20(LS),2
Direct/Unknown,https://cloudlabslearning.com/family-parents-and-students,2
Direct/Unknown,https://cloudlabslearning.com/es/nuestro-equipo-comercial,2
Direct/Unknown,https://cloudlabslearning.com/es/como-ser-mas-productivos-en-el-entorno-educativo,2
Direct/Unknown,https://cloudlabslearning.com/pedagogical-integration,2
Direct/Unknown,https://cloudlabslearning.com/verify/AAB2F3,2
Direct/Unknown,https://cloudlabslearning.com/pt/contato,2
Direct/Unknown,https://cloudlabslearning.com/es/te-contamos-de-que-trata-el-modelo-stem,2
Direct/Unknown,https://cloudlabslearning.com/register/BAA4626FD0,2
Direct/Unknown,https://landing.cloudlabs.media/about-cloudlabs,2
Direct/Unknown,https://landing.cloudlabs.media/testimonials-and-experiences,2
Direct/Unknown,https://landing.cloudlabs.media/support,2
Direct/Unknown,https://landing.cloudlabs.media/sgi-policies,2
Direct/Unknown,https://landing.cloudlabs.media/cookie-policies,2
External,https://cloudlabslearning.com/blogs-and-news/113,2
Direct/Unknown,https://cloudlabslearning.com/why-cloudlabs,2
External,https://cloudlabs.media/,2
Direct/Unknown,https://cloudlabslearning.com/auth/session/16afd22f-8335-4717-aca1-76910277b038,2
Direct/Unknown,https://landing.cloudlabs.media/register,2
External,https://cloudlabslearning.com/error-invitation/confirmed,2
External,https://cloudlabslearning.com/curriculum/detail-country/87/United%20States/detail-curriculum/119/Next%20Generation%20Science%20Standards/detail-grade/165/Life%20Science%20(LS),2
Direct/Unknown,https://cloudlabslearning.com/blogs-and-news/115,2
https://cloudlabslearning.com/pricing,https://cloudlabslearning.com/page-not-found,2
External,https://cloudlabslearning.com/curriculum/country-list,2
External,https://cloudlabslearning.com/cookie-policies,2
External,https://landing.cloudlabs.media/elementary-school,2
https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/why-cloudlabs,2
https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/middle-school,2
https://cloudlabslearning.com/es_co,https://cloudlabslearning.com/page-not-found,2
Direct/Unknown,https://cloudlabs.media/innovative-education,2
https://shop.cloudlabslearning.com/mathematics-k-5-prueba,https://cloudlabslearning.com/request-demo,2
Direct/Unknown,https://cloudlabs.media/privacy-policies,2
https://cloudlabslearning.com/virtual-stem,https://cloudlabslearning.com/page-not-found,2
Direct/Unknown,https://cloudlabs.media/testimonials-and-experiences,2
Direct/Unknown,https://cloudlabs.media/terms-conditions,2
Direct/Unknown,https://cloudlabs.media/sgi-policies,2
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/11422/Alabama/detail-curriculum/11424/Mathematics/detail-grade/12451/Grade%206,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/11422/Alabama/detail-curriculum/11424/Mathematics,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/11422/Alabama/detail-curriculum/11423/Natural%20Sciences/detail-grade/11486/Grade%208,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14931/Hawaii/detail-curriculum/14932/Sciences/detail-grade/14944/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14562/Mathematics/detail-grade/14591/Algebra,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14562/Mathematics/detail-grade/14590/Number%20and%20Quantity,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14562/Mathematics/detail-grade/14588/Grade%207,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14562/Mathematics/detail-grade/14584/Grade%203,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14562/Mathematics,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/10831/Colorado/detail-curriculum/10832/Sciences,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/10051/Georgia/detail-curriculum/10053/Mathematics/detail-grade/10088/Multivariable%20Calculus,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/10051/Georgia/detail-curriculum/10053/Mathematics/detail-grade/10087/Statistical%20Reasoning,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/10051/Georgia/detail-curriculum/10053/Mathematics/detail-grade/10086/Calculus,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/10051/Georgia/detail-curriculum/10053/Mathematics,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/21841/Assessments/detail-grade/21861/Earth%20and%20Space%20Science%20-%20Grade%208,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/21841/Assessments,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/1454/High%20School/detail-grade/1456/%20Earth%20and%20Space%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/1375/Middle%20School/detail-grade/1400/Grade%206,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15798/Mathematics/detail-grade/16163/Geometry,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15798/Mathematics/detail-grade/16159/Geometry,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15798/Mathematics/detail-grade/16157/Number,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15798/Mathematics/detail-grade/16155/Grade%207,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15798/Mathematics/detail-grade/16153/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/12625/Illinois/detail-curriculum/12626/Natural%20Sciences%20(NGSS)/detail-grade/12644/Life%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/12625/Illinois/detail-curriculum/12626/Natural%20Sciences%20(NGSS)/detail-grade/12642/Engineering%20Design,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/12625/Illinois/detail-curriculum/12626/Natural%20Sciences%20(NGSS)/detail-grade/12641/Earth%20and%20Space%20Sciences,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/11589/Maryland/detail-curriculum/11590/Natural%20Sciences/detail-grade/11603/Engineering%20Design,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/11589/Maryland/detail-curriculum/11590/Natural%20Sciences/detail-grade/11600/Physical%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1516/Arizona/detail-curriculum/1517/Middle%20School/detail-grade/1555/Grade%207,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14931/Hawaii/detail-curriculum/14933/Mathematics/detail-grade/14961/Number%20and%20Quantity,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14931/Hawaii/detail-curriculum/14933/Mathematics/detail-grade/14957/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14931/Hawaii/detail-curriculum/14933/Mathematics/detail-grade/14955/Grade%203,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14931/Hawaii/detail-curriculum/14932/Sciences/detail-grade/14948/Engineering%20Design,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17843/Kansas/detail-curriculum/20237/Mathematics/detail-grade/20261/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17843/Kansas/detail-curriculum/20236/Science/detail-grade/20248/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17843/Kansas/detail-curriculum/20236/Science/detail-grade/20246/Grade%203,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17557/Tennessee/detail-curriculum/17558/Science/detail-grade/17582/Physics%20II,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17557/Tennessee/detail-curriculum/17558/Science/detail-grade/17580/Physical%20World%20Concepts,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17557/Tennessee/detail-curriculum/17558/Science/detail-grade/17564/Grade%203,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14561/Science/detail-grade/14576/Life%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/14560/Rhode%20Island/detail-curriculum/14561/Science/detail-grade/14572/Life%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/3012/Kindergarten/detail-grade/3321/Data%20Analysis%20and%20Probability,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/3012/Kindergarten/detail-grade/3014/Life%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1374/Florida/detail-curriculum/3008/Elementary/detail-grade/21631/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16773/Mathematics/detail-grade/16793/Grade%207,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16773/Mathematics/detail-grade/16788/Grade%202,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16773/Mathematics,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16772/Science/detail-grade/16785/Grade%206%20-%208,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16772/Science/detail-grade/16784/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16772/Science/detail-grade/16780/Grade%201,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/243/M%C3%A9xico,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/22218/New%20York/detail-curriculum/22221/High%20School,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/22218/New%20York/detail-curriculum/22219/Elementary%20School,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15797/Sciences/detail-grade/15815/Plus%20Standards%20-%20Biology,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15797/Sciences/detail-grade/15810/Physical%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/15796/Nebraska/detail-curriculum/15797/Sciences/detail-grade/15806/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1516/Arizona/detail-curriculum/1617/High%20School/detail-grade/1734/Algebra%20II,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/1516/Arizona/detail-curriculum/1617/High%20School,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19616/Science/detail-grade/19651/Engineering%20Design%20(3-5),1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19616/Science/detail-grade/19632/Engineering%20Design,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19616/Science/detail-grade/19631/Earth%20and%20Space%20Sciences,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19616/Science/detail-grade/19628/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19616/Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17843/Kansas/detail-curriculum/20237/Mathematics/detail-grade/20263/Grade%207,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/7625/New%20Mexico,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/7001/Maine/detail-curriculum/7024/EL%20-%20Mathematics/detail-grade/7067/Measurement%20&%20Data,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/7001/Maine/detail-curriculum/7003/MS%20-%20Science/detail-grade/7258/PS4,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/7001/Maine/detail-curriculum/7002/EL%20-%20Science/detail-grade/7182/Life%20Sciences%20(LS),1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/7001/Maine/detail-curriculum/7002/EL%20-%20Science,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/17557/Tennessee,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16773/Mathematics/detail-grade/16798/Geometry,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16773/Mathematics/detail-grade/16796/Algebra,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/16536/Michigan/detail-curriculum/16773/Mathematics/detail-grade/16794/Grade%208,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5156/Middle%20School/detail-grade/5176/Grade%207,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5156/Middle%20School/detail-grade/5175/Grade%206,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5156/Middle%20School/detail-grade/5172/Grade%206,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5156/Middle%20School,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5155/Elementary/detail-grade/5167/Grade%203,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5155/Elementary/detail-grade/5164/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/982/New%20Jersey/detail-curriculum/2632/Middle%20School/detail-grade/2658/Waves%20and%20Their%20Applications%20in%20Technologies,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/982/New%20Jersey/detail-curriculum/2632/Middle%20School/detail-grade/2648/Motion%20and%20Stability:%20Forces%20and%20Interactions,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/982/New%20Jersey/detail-curriculum/2632/Middle%20School/detail-grade/2634/Matter%20and%20its%20Interactions,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8285/Oklahoma/detail-curriculum/8287/Mathematics/detail-grade/8320/Statistics%20and%20Probability,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8285/Oklahoma/detail-curriculum/8287/Mathematics/detail-grade/8316/Algebra%201,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8285/Oklahoma/detail-curriculum/8287/Mathematics/detail-grade/8312/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/22218/New%20York,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19617/Mathematics/detail-grade/19647/Functions,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19617/Mathematics/detail-grade/19646/Algebra,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/19615/Delaware/detail-curriculum/19617/Mathematics/detail-grade/19641/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8252/Mathematics/detail-grade/8283/Geometric%20Reasoning%20and%20Measurement,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8252/Mathematics/detail-grade/8282/Number%20and%20Quantity,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8252/Mathematics/detail-grade/8276/Grade%205,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8252/Mathematics/detail-grade/8275/Grade%204,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8252/Mathematics/detail-grade/8274/Grade%203,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8251/Sciences/detail-grade/8267/Earth%20and%20Space%20Sciences,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/8250/Oregon/detail-curriculum/8251/Sciences/detail-grade/8261/Grade%206,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/detail-country/87/Estados%20Unidos/detail-curriculum/119/Next%20Generation%20Science%20Standards/detail-grade/163/Physical%20Science%20(PS),1
Direct/Unknown,https://cloudlabslearning.com/curriculum/detail-country/29/Colombia%20-%20DBA,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/detail-country/243/M%C3%A9xico/detail-curriculum/359/Bachillerato%20general,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/982/New%20Jersey/detail-curriculum/2635/High%20School/detail-grade/3503/Statistics%20and%20Probability-%20Making%20Inferences,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/982/New%20Jersey/detail-curriculum/2635/High%20School/detail-grade/3458/Geometry-%20Circles,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/7001/Maine,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5157/High%20School/detail-grade/5188/Calculus,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5157/High%20School/detail-grade/5185/Algebra%201,1
Direct/Unknown,https://cloudlabslearning.com/curriculum/country-list/detail-country/3843/South%20Carolina%20-%20SC/detail-curriculum/5157/High%20School/detail-grade/5184/Geometry%20with%20Statistics,1
